"Site","Year","ID","Ring","Tag","Sex","Birth","Status","class","Repeat","deployAge","gen","env","pop","deployBreedStatus","winterLongitude","winterLatitude","iblon","iblat","awestlon","awestlat","pslon","pslat","deployAD_J","deployFED_J","deployHatch_J","breedDeparture_J","FAC_EndJ","winterArrival_J","ISC_Jy","breedArrival_Jy","returnAD_Jy","returnFED_Jy","returnHatch_Jy"
"Tomsk",2015,"U818","01720","W50","M",NA,"immigrant",NA,"N",NA,NA,NA,"Tomsk","breeding",19.89818012,9.068152111,-6.95630952097368,53.2184815905396,-11.010541008603,27.3857300972129,8.80962459006884,33.6643846150502,NA,152,NA,228,283,302,468,NA,NA,514,NA
"Tomsk",2015,"U819","01811","W50","M",NA,"immigrant",NA,"N",NA,NA,NA,"Tomsk","breeding",19.46320043,9.688226572,-2.99845578035904,67.0840354935248,-14.2709629356909,20.8378570695171,23.0677819944557,37.9187003318577,NA,153,NA,235,288,315,472,500,NA,508,NA
"Tomsk",2015,"U824","01341","W50","M",NA,"immigrant",NA,"N",NA,NA,NA,"Tomsk","breeding",15.33062531,5.414167831,-3.88458498461655,28.5268126285113,-15.39871189667,16.1170342157589,10.616567444662,36.1937576940386,NA,145,NA,224,277,296,470,498,NA,510,NA
"Tomsk",2015,"U826","01613","W50","M",NA,"immigrant",NA,"N",NA,NA,NA,"Tomsk","breeding",12.8394168,6.381966027,-6.6688684874892,58.1573269833424,-12.2390194376745,28.9284162781067,14.3388701453327,31.7828689916662,NA,148,NA,228,281,298,466,NA,NA,513,NA
"Tomsk",2015,"U839","01506","W50","M",NA,"immigrant",NA,"N",NA,NA,NA,"Tomsk","breeding",18.21363128,7.170797486,-7.29081368963783,24.4607974484725,-17.3742998479424,14.072134801676,34.4034311646195,50.1276313370986,NA,148,NA,227,277,297,471,NA,NA,510,NA
"Ural",2017,"BG192","VP.16940","W50","M",2016,"recruit",NA,"N",2,NA,NA,"Ural","breeding",9.195511887,4.093563298,-5.80586725773477,37.8525302034372,-17.6354021348546,12.3647588791647,26.8662850971156,44.1337139073988,NA,153,171,230,296,329,468,484,NA,514,535
"Moscow",2020,"BW301","VC.00227","P30","M",NA,"immigrant",NA,"N",NA,NA,NA,"Moscow","breeding",-4.405705107,9.259115066,0.0382451257202868,44.8789065490464,-15.8876396417271,23.8065056098971,-1.57059492371539,34.521678633352,NA,142,161,220,254,265,467,NA,NA,534,550
"Moscow",2020,"BW313","VC.00099","P30","M",NA,"immigrant",NA,"N",NA,NA,NA,"Moscow","breeding",-6.754876086,9.951783364,-7.24121920586916,33.9103491902666,-16.5871245764877,21.6199615840231,3.64745169591912,33.8541055265674,NA,132,156,226,270,272,463,487,NA,519,537
"Moscow",2020,"BW322","VC.23461","P30","M",NA,"immigrant",NA,"N",NA,NA,NA,"Moscow","breeding",-9.514717655,9.088931204,-7.30904297240798,41.1725130129046,-14.7687486378413,50.7353186843228,3.04211936033532,34.8767819101335,NA,139,157,225,270,281,464,491,NA,503,521
"Moscow",2020,"BW329","KA.07999  ","P30","M",NA,"immigrant",NA,"N",NA,NA,NA,"Moscow","breeding",12.7426662,5.95890454,-5.53992923571412,39.9020778373099,-14.662042065559,31.7065807169857,10.0925419595989,33.1613573640413,NA,132,151,216,242,267,467,492,NA,505,523
"Spain",2015,"U657","MV9465","W50","M",2013,"recruit",NA,"N",3,NA,NA,"Spain","breeding",-16.12865127,11.91250077,-3.78853272900004,42.1097968765279,-17.2185729666536,21.1272181534442,NA,NA,NA,132,150,223,247,264,NA,NA,NA,503,521
"Spain",2015,"U668","MV9574","W50","M",2013,"recruit",NA,"N",3,NA,NA,"Spain","breeding",-15.95976727,11.71120585,-7.16812767535668,41.9005391408693,-17.1874619922507,19.7769212029879,NA,NA,NA,133,150,223,238,255,NA,NA,NA,506,524
"Spain",2015,"U661","Y63012","W50","M",NA,"immigrant",NA,"N",NA,NA,NA,"Spain","breeding",-15.81203001,14.03370146,-4.00042902671707,31.6747541439301,-16.5136491550592,21.6450307961218,NA,NA,NA,134,151,221,239,257,NA,NA,NA,501,516
"Spain",2015,"U675","MX2376","W50","M",2012,"recruit",NA,"N",4,NA,NA,"Spain","breeding",-16.41318632,14.65046213,-5.47708253500309,36.7718511629682,-17.2120675132294,24.2109464564642,NA,NA,NA,135,152,218,238,241,NA,NA,NA,505,525
"Spain",2015,"U685","MX2293","W50","M",2012,"recruit",NA,"N",4,NA,NA,"Spain","breeding",-13.29374971,13.21926304,-3.52338579434439,38.41190949674,-16.0551754399301,25.4143376468035,NA,NA,NA,133,163,203,237,249,NA,NA,NA,503,521
"Spain",2015,"U667","MV9233","W50","M",2013,"recruit",NA,"N",3,NA,NA,"Spain","breeding",-14.77540863,13.64013362,-6.29541253379586,38.9903721587324,-16.7290428974749,19.0196729647402,NA,NA,NA,133,161,213,241,245,NA,NA,NA,503,522
"Dartmoor",2017,"BF894","Z135712","P30","F",2016,"immigrant",NA,"N",NA,NA,NA,"UK","",-10.97996035,8.667609124,-8.40142477801667,38.9472656094659,-15.5784504004352,35.3219175990906,NA,NA,110.5,129,148,226,252,263,480,NA,475.5,505,524
"Dartmoor",2017,"BF900","Z286611","P30","M",2015,"recruit",NA,"N",3,NA,NA,"UK","",-8.602874462,14.75982103,-6.90775790461603,37.500769109812,-15.1029728052326,21.8201414300385,-7.54601817899217,22.4502230448063,108.5,124,143,204,244,246,452,462,473.5,492,511
"Dartmoor",2017,"BF909","Z286648","P30","F",2015,"recruit",NA,"N",3,NA,NA,"UK","",-13.03625883,9.520968221,-8.20765071407574,42.3559961123204,-16.0079852341945,33.987896780069,-7.76500539203343,40.282238592491,102.5,124,143,210,245,258,458,474,467.5,493,512
"Dartmoor",2017,"BF914","Z286244","P30","M",2015,"recruit",NA,"N",3,NA,NA,"UK","",-10.61027527,7.752926298,-8.4118682178092,40.5519706291756,-16.6930725200429,23.2126078610549,-7.46161229463531,33.3442372068364,NA,123,NA,196,232,257,435,471,NA,490,510
